workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
mobilenet_batch2-train,resnet-50_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,88.131,44.828,43.303,52.38470229739446,52.67105010726058,0.16857103367079634,0.2163372077514394,-7.556702297394459,-9.36805010726058
mobilenet_batch2-train,resnet-50_batch2-train,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,69.426,44.22,25.206,52.38470229739446,30.013618896435663,0.18463822472624294,0.19073311498990966,-8.164702297394463,-4.807618896435663
mobilenet_batch2-train,sortingNetworks_batch2-cuda_samples,300.0,300.0,2,40.0,70.0,36.36363636363636,63.63636363636363,40.0,60.0,61.947,41.979,19.968,52.38470229739446,30.024213075060533,0.24787875598262138,0.503616440057118,-10.405702297394463,-10.056213075060533
mobilenet_batch2-train,transpose_batch2-cuda_samples,300.0,300.0,2,40.0,50.0,40.0,50.0,40.0,60.0,134.904,42.009,92.895,52.38470229739446,137.4448,0.24698760497499253,0.4795715592873674,-10.375702297394461,-44.54979999999999
mobilenet_batch2-train,vit-base-patch16-224_batch2-inf,300.0,300.0,2,40.0,50.0,40.0,50.0,40.0,60.0,64.587,43.802,20.785,52.38470229739446,28.79960639952206,0.19594316007019,0.385595689175947,-8.582702297394462,-8.014606399522059
mobilenet_batch2-train,vit_h_14_batch2-train,300.0,300.0,2,39.856481585641234,80.0,33.25350540776764,66.74649459223235,30.0,70.0,40.416,39.43,0.986,52.38470229739446,1.3865983171738605,0.32854938618804114,0.4062863257341385,-12.954702297394462,-0.4005983171738605
mobilenet_batch2-train,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,40.0,80.0,33.333333333333336,66.66666666666667,30.0,70.0,45.394000000000005,38.343,7.051,52.38470229739446,9.683122051755843,0.36621292797627875,0.3732976956113804,-14.041702297394458,-2.632122051755843
mobilenet_batch2-train,whisper-large-v2_batch2-inf,300.0,300.0,2,40.0,60.0,40.0,60.0,40.0,60.0,44.214,43.83,0.384,52.38470229739446,0.638458413140635,0.1951791534883519,0.662652117553737,-8.554702297394464,-0.254458413140635
mobilenet_v2_1.0_224_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,136.901,67.449,69.452,81.52897271058606,81.52897271058606,0.20874991045954816,0.17388948785616054,-14.079972710586063,-12.076972710586062
mobilenet_v2_1.0_224_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,179.093,68.219,110.874,81.52897271058606,177.77344,0.19510653499151362,0.6033825784223533,-13.309972710586067,-66.89944
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,107.994,66.017,41.977,81.52897271058606,52.67105010726058,0.23496936714158573,0.25475975194179146,-15.511972710586065,-10.69405010726058
